pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10
-5.087845502433201,0.6864821218200892,-1.014591300521486,-0.3511510274106076,-0.2360341864678857,0.5570765574406426,-0.4446740743252841,0.39107790919104785,-0.6941310302218431,0.0019050868829822373
-5.26157139430077,0.4788053262537192,-0.5039906649835291,0.02933961652617088,-0.18324939550128141,-0.020602073664690423,-0.5901452651009992,0.19916962327202528,0.7383230076120145,0.45141330635466603
-0.9770010896211483,-3.4831260028160655,2.390306861788919,0.6104927628378892,-0.06328303839793073,-0.16013344790987283,0.4014056609122973,0.028540276975121234,-0.2626266143998024,-0.03941162077566041
-5.2751108539728175,0.6579413720249682,-0.8517199805672584,-0.22544437956029195,-0.2541580581927664,0.5502038085349944,-0.3393432707013931,-0.12001425865735418,-0.5465420575410573,0.006429699966124352
-5.298146010376784,0.7193715820087955,-0.9560968953306233,-0.3003409900172265,-0.2737321848325053,0.7226222884934582,-0.27497700561362276,-0.21165309187216547,-0.8893790600651574,-0.11966556326063862
-5.302046616237056,0.7291832285638247,-0.9734367589785183,-0.3127121780235409,-0.277289283956786,0.7521793260381783,-0.26356670242593055,-0.2268706948373011,-0.9521535463898544,-0.14239640252522526
-0.9876241562350196,-3.5068452392703384,2.4310066022566685,0.6368294426665292,-0.06694244245241915,-0.18372300687345056,0.4055086061301448,-0.010075312055883,-0.2936627457632493,-0.05339654475902373
-5.298226554460611,0.7303310751884433,-0.9770029930892553,-0.3156509016029478,-0.27769947919210747,0.7557018800767016,-0.26032204898938466,-0.23090602938888616,-0.9611451800457879,-0.1445355697455221
-0.18878816125908035,-3.8732280445527953,2.5067407601329807,0.5906125453183954,-0.0024236086279482427,-0.7174873191324067,0.3336052273091831,0.2445208631672674,-0.026999300634684042,0.15297184728280966
-4.84995497871409,2.7846218963375775,1.2568703151317597,0.4809122301278071,-0.31467120553087846,-0.3130835980229011,0.14573426559479208,0.06858157945253884,1.0249730160960695,-0.5268759566475333
-0.2734893136610389,-3.422752068590303,2.52537148033771,0.6434165175270318,-0.09866273702134669,-0.2025254701017991,0.012326651803492863,0.09108797713414298,-0.9583681402787064,0.49139628452086476
-0.2539859276746945,-3.7450826209164108,2.3174866803807297,0.4779167622990543,-0.027168632512712673,-0.4692891811406837,0.4022243986572115,0.11845412009947077,-0.43611096092629903,-0.02641376354038922
-5.100188585696337,0.6977409772356065,-1.0279065815422477,-0.3594848099783369,-0.23794853071002944,0.5800085140082613,-0.4411340461646524,0.38167393004972544,-0.7212134381783579,-0.011832479344170926
