timestamp,hostname,endpoint_id,os_type,pid,ppid,process_name,cmd,cpu_percent,memory,risk_score,risk_level
2025-05-09T23:10:01.738455,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,457,-1,lsd,/usr/libexec/lsd,0.0,12304384,0.0,low
2025-05-09T23:10:01.739970,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,458,-1,trustd,/usr/libexec/trustd --agent,0.0,17973248,0.0,low
2025-05-09T23:10:01.741579,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,462,-1,secd,/usr/libexec/secd,0.0,30048256,0.0,low
2025-05-09T23:10:01.743413,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,464,-1,ControlCenter,/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter,0.0,70057984,0.0,low
2025-05-09T23:10:01.744873,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,469,-1,lockoutagent,/System/Library/CoreServices/lockoutagent,0.0,7585792,0.0,low
2025-05-09T23:10:01.746359,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,471,-1,rapportd,/usr/libexec/rapportd,0.0,22413312,0.0,low
2025-05-09T23:10:01.747959,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,473,-1,usernoted,/usr/sbin/usernoted,0.0,22396928,0.0,low
2025-05-09T23:10:01.749409,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,478,-1,chronod,/System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod,0.0,42762240,0.0,low
2025-05-09T23:10:01.752079,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,479,-1,corespotlightd,/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd,0.0,175325184,0.0,low
2025-05-09T23:10:01.753413,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,486,-1,usernotificationsd,/System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd,0.0,12681216,0.0,low
2025-05-09T23:10:01.754723,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,487,-1,pboard,/usr/libexec/pboard,0.0,10043392,0.0,low
2025-05-09T23:10:01.756182,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,489,-1,ScreenTimeAgent,/System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent,0.0,32833536,0.0,low
2025-05-09T23:10:01.757598,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,493,-1,fileproviderd,/System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd,0.8,32718848,0.0,low
2025-05-09T23:10:01.759122,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,496,-1,talagent,/System/Library/CoreServices/talagent,0.0,19464192,0.0,low
2025-05-09T23:10:01.760452,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,498,-1,WiFiAgent,/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent,0.0,16990208,0.0,low
2025-05-09T23:10:01.762132,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,500,-1,accountsd,/System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd,0.0,32784384,0.0,low
2025-05-09T23:10:01.764360,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,501,-1,Safari,/System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari,4.8,492503040,0.0,low
2025-05-09T23:10:01.765881,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,502,-1,identityservicesd,/System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd,0.0,49381376,0.0,low
2025-05-09T23:10:01.767496,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,503,-1,Dock,/System/Library/CoreServices/Dock.app/Contents/MacOS/Dock,0.0,47153152,0.0,low
2025-05-09T23:10:01.769144,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,504,-1,SystemUIServer,/System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer,0.0,37306368,0.0,low
2025-05-09T23:10:01.770704,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,505,-1,Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,0.0,121634816,0.0,low
2025-05-09T23:10:01.772322,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,517,-1,NotificationCenter,/System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter,0.0,66306048,0.0,low
2025-05-09T23:10:01.773814,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,520,-1,fontd,/System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd,0.0,10141696,0.0,low
2025-05-09T23:10:01.775274,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,521,-1,WallpaperAgent,/System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent,0.0,27475968,0.0,low
2025-05-09T23:10:01.776610,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,522,-1,imklaunchagent,/System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent,0.0,9715712,0.0,low
2025-05-09T23:10:01.778037,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,523,-1,sharedfilelistd,/System/Library/CoreServices/sharedfilelistd,0.0,8257536,0.0,low
2025-05-09T23:10:01.779492,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,528,-1,fontworker,/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker,0.0,4587520,0.0,low
2025-05-09T23:10:01.780891,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,537,-1,AMPDeviceDiscoveryAgent,/System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd,0.0,5570560,0.0,low
2025-05-09T23:10:01.782219,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,538,-1,WallpaperVideoExtension,/System/Library/ExtensionKit/Extensions/WallpaperVideoExtension.appex/Contents/MacOS/WallpaperVideoExtension,0.0,25100288,0.0,low
2025-05-09T23:10:01.783789,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,549,-1,sharingd,/usr/libexec/sharingd,0.0,35618816,0.0,low
2025-05-09T23:10:01.785354,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,550,-1,ViewBridgeAuxiliary,/System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary,0.0,12386304,0.0,low
2025-05-09T23:10:01.786819,JermainacStudio.attlocal.net,JermainacStudio.attlocal.net,darwin,553,-1,com.apple.Safari.History,/System/Cryptexes/App/usr/libexec/com.apple.Safari.History,0.0,25542656,0.0,low
