map_name,map_id,prog_id,prog_name,btf_obj,src_path,pinned
edr_events_rb,203,1396,trace_execve_ho,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/proc_hollow_monitor.c,
edr_events_rb,203,1401,trace_suspiciou,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/suspicious_ipc.c,
edr_events_rb,203,1464,trace_execve,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/logon_tracker.bpf.c,
edr_events_rb,203,1468,trace_mmap,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/mem_scan.bpf.c,
edr_events_rb,203,1473,trace_execve_me,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/mem_scan.bpf.c,
edr_events_rb,203,1474,trace_read,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/encrypted_payload_monitor.bpf.c,
edr_events_rb,203,1475,trace_recvfrom,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/encrypted_payload_monitor.bpf.c,
edr_events_rb,203,1483,trace_dns_send,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/dns_tunnel_monitor.c,
edr_events_rb,203,1488,trace_dll_injec,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/dll_injection_monitor.c,
edr_events_rb,203,1493,trace_file_tamp,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/file_tamper_monitor.c,
edr_events_rb,203,1501,trace_read,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/encrypted_payload_monitor.bpf.c,
edr_events_rb,203,1502,trace_ipc_shmge,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/ipc_abuse_monitor.c,
edr_events_rb,203,1503,trace_recvfrom,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/encrypted_payload_monitor.bpf.c,
edr_events_rb,203,1504,trace_ipc_msgsn,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/ipc_abuse_monitor.c,
edr_events_rb,203,1516,trace_execve,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/logon_tracker.bpf.c,
edr_events_rb,203,1517,trace_mfa_anoma,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/mfa_bypass_monitor.c,
edr_events_rb,203,1523,trace_mmap,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/mem_scan.bpf.c,
edr_events_rb,203,1524,trace_execve_me,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/mem_scan.bpf.c,
edr_events_rb,203,1529,trace_network_c,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/network_anomaly_monitor.c,
edr_events_rb,203,1536,trace_proc_inje,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/process_injection.c,
edr_events_rb,203,1540,trace_mmap_exec,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/process_injection_monitor.c,
edr_events_rb,203,1541,trace_ptrace,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/process_injection_monitor.c,
edr_events_rb,203,1542,trace_vm_write,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/process_injection_monitor.c,
edr_events_rb,203,1548,trace_execve_ho,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/proc_hollow_monitor.c,
edr_events_rb,203,1552,trace_suspiciou,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/suspicious_ipc.c,
edr_events_rb,203,2836,kprobe_commit_c,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/kernel_exploit_fallout.c,
edr_events_rb,203,2837,kprobe_prepare_,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/kernel_exploit_fallout.c,
edr_events_rb,203,2856,tp_sched_proces,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/proc_lifecycle.bpf.c,
edr_events_rb,203,2857,tp_sched_proces,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/proc_lifecycle.bpf.c,
edr_events_rb,203,2858,tp_sched_proces,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/proc_lifecycle.bpf.c,
edr_events_rb,203,2896,trace_cred_dump,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/cred_dump_monitor.c,
edr_events_rb,203,2897,trace_open_shad,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/cred_dump_monitor.c,
edr_events_rb,203,2903,trace_openat,(no BTF obj name),/home/jermaineb/EDR-platform/edr-agent/src/ebpf/job_sched_monitor.bpf.c,
